,originID,destID
38853,1838,2534
38854,1839,70
38855,1839,709
38856,1839,170
38857,1839,2492
38858,1839,185
38859,1839,1399
38860,1839,1282
38861,1839,2256
38862,1839,887
38863,1839,1728
38864,1839,2163
38865,1839,1839
38866,1839,711
38867,1839,2022
38868,1839,658
38869,1839,1575
38870,1839,1806
38871,1839,2035
38872,1839,212
38873,1839,15
38874,1839,1715
38875,1839,359
38876,1839,1568
38877,1839,37
38878,1840,101
38879,1840,1490
38880,1840,1840
38881,1840,340
38882,1840,2055
38883,1840,106
38884,1840,510
38885,1840,1744
38886,1840,2356
38887,1840,2410
38888,1840,1679
38889,1840,1721
38890,1840,1694
38891,1840,598
38892,1840,1460
38893,1841,2214
38894,1841,1395
38895,1841,704
38896,1841,1357
38897,1841,1627
38898,1841,1841
38899,1841,46
38900,1841,336
38901,1841,1879
38902,1841,1338
38903,1841,386
38904,1841,1298
38905,1841,916
38906,1841,2181
38907,1841,353
38908,1841,872
38909,1842,1801
38910,1842,1842
38911,1842,1038
38912,1842,921
38913,1842,2180
38914,1843,95
38915,1843,2481
38916,1843,237
38917,1843,2310
38918,1843,1371
38919,1843,1843
38920,1843,1182
38921,1843,1307
38922,1843,2186
38923,1843,136
38924,1843,2390
38925,1843,103
38926,1843,2284
38927,1843,2437
38928,1843,2025
38929,1843,1384
38930,1843,738
38931,1843,51
38932,1844,1617
38933,1844,236
38934,1844,1692
38935,1844,1098
38936,1844,49
38937,1844,1488
38938,1844,1844
38939,1844,215
38940,1844,210
38941,1844,1515
38942,1844,2023
38943,1844,1898
38944,1844,1424
38945,1844,370
38946,1844,1512
38947,1844,221
38948,1844,2507
38949,1844,1645
38950,1844,448
38951,1844,2004
38952,1844,174
38953,1845,710
38954,1845,141
38955,1845,1183
38956,1845,1662
38957,1845,784
38958,1845,2005
38959,1845,1675
38960,1845,1078
38961,1845,2549
38962,1845,1536
38963,1845,133
38964,1845,1733
38965,1845,1586
38966,1845,488
38967,1845,547
38968,1845,773
38969,1845,1845
38970,1845,2339
38971,1845,2421
38972,1845,2006
38973,1845,260
38974,1846,1846
38975,1846,2329
38976,1846,372
38977,1846,2510
38978,1846,2064
38979,1846,1958
38980,1846,2511
38981,1846,499
38982,1846,1312
38983,1846,18
38984,1846,721
38985,1846,2231
38986,1846,1021
38987,1846,2131
38988,1846,572
38989,1847,1847
38990,1847,2395
38991,1847,2211
38992,1847,1681
38993,1847,325
38994,1847,1835
38995,1847,1305
38996,1848,893
38997,1848,927
38998,1848,468
38999,1848,2069
39000,1848,1848
39001,1848,866
39002,1848,464
39003,1848,2509
39004,1848,310
39005,1848,894
39006,1848,2508
39007,1848,283
39008,1849,440
39009,1849,1849
39010,1849,752
39011,1849,442
39012,1849,1427
39013,1849,542
39014,1849,187
39015,1849,1954
39016,1849,1511
39017,1849,2448
39018,1849,1369
39019,1849,1412
39020,1849,1587
39021,1849,1091
39022,1849,1790
39023,1849,978
39024,1849,895
39025,1849,884
39026,1849,1934
39027,1849,970
39028,1850,214
39029,1850,2201
39030,1850,662
39031,1850,137
39032,1850,1701
39033,1850,1541
39034,1850,1230
39035,1850,757
39036,1850,581
39037,1850,1031
39038,1850,2141
39039,1850,538
39040,1850,1592
39041,1850,1914
39042,1850,1902
39043,1850,1378
39044,1850,993
39045,1850,2415
39046,1850,1850
39047,1851,514
39048,1851,89
39049,1851,1851
39050,1851,835
39051,1851,253
39052,1851,1281
39053,1851,1204
39054,1851,2065
39055,1851,607
39056,1851,2451
39057,1851,761
39058,1851,178
39059,1851,1788
39060,1851,1046
39061,1851,176
39062,1851,197
39063,1851,1039
39064,1852,1554
39065,1852,619
39066,1852,675
39067,1852,2524
39068,1852,406
39069,1852,1852
39070,1852,1827
39071,1852,1594
39072,1852,1208
39073,1852,2054
39074,1852,2444
39075,1852,1565
39076,1852,2013
39077,1852,1606
39078,1852,909
39079,1853,2503
39080,1853,1218
39081,1853,294
39082,1853,2162
39083,1853,2505
39084,1853,355
39085,1853,1223
39086,1853,1008
39087,1853,234
39088,1853,805
39089,1853,496
39090,1853,932
39091,1853,2308
39092,1853,602
39093,1853,2326
39094,1853,86
39095,1853,1685
39096,1853,2504
39097,1853,1853
39098,1853,962
39099,1853,2071
39100,1853,470
39101,1854,117
39102,1854,1938
39103,1854,1127
39104,1854,79
39105,1854,108
39106,1854,134
39107,1854,1854
39108,1854,527
39109,1854,737
39110,1854,1252
39111,1854,535
39112,1854,71
39113,1854,2414
39114,1854,471
39115,1854,2461
39116,1855,441
39117,1855,1613
39118,1855,2427
39119,1855,1377
39120,1855,43
39121,1855,460
39122,1855,1253
39123,1855,1009
39124,1855,869
39125,1855,2355
39126,1855,362
39127,1855,2047
39128,1855,181
39129,1855,592
39130,1855,1723
39131,1855,2045
39132,1855,1661
39133,1855,1263
39134,1855,1885
39135,1855,1561
39136,1855,2010
39137,1855,501
39138,1855,1855
39139,1855,1169
39140,1855,564
39141,1855,1933
39142,1855,595
39143,1855,148
39144,1855,1160
39145,1855,2534
39146,1855,1838
39147,1855,768
39148,1855,1099
39149,1855,1323
39150,1855,1772
39151,1856,1764
39152,1856,2033
39153,1856,2307
39154,1856,1185
39155,1856,1638
39156,1856,1619
39157,1856,454
39158,1856,402
39159,1856,159
39160,1856,1831
39161,1856,2088
39162,1856,766
39163,1856,676
39164,1856,1017
39165,1856,885
39166,1856,194
39167,1856,1640
39168,1856,2116
39169,1856,1349
39170,1856,2238
39171,1856,451
39172,1856,2138
39173,1856,1375
39174,1856,472
39175,1856,1814
39176,1856,1856
39177,1856,1131
39178,1856,2494
39179,1857,1245
39180,1857,2386
39181,1857,1490
39182,1857,598
39183,1857,2055
39184,1857,692
39185,1857,265
39186,1857,211
39187,1857,2123
39188,1857,1297
39189,1857,734
39190,1857,1694
39191,1857,1460
39192,1857,2252
39193,1857,1380
39194,1857,1744
39195,1857,1857
39196,1857,12
39197,1857,678
39198,1857,720
39199,1857,1721
39200,1857,1429
39201,1857,579
39202,1857,1926
39203,1857,1563
39204,1857,256
39205,1857,106
39206,1857,101
39207,1857,1373
39208,1857,506
39209,1857,1214
39210,1857,217
39211,1857,340
39212,1857,1679
39213,1857,1527
39214,1857,477
39215,1857,1905
39216,1857,2261
39217,1858,2067
39218,1858,1156
39219,1858,909
39220,1858,119
39221,1858,1469
39222,1858,2172
39223,1858,650
39224,1858,2113
39225,1858,1368
39226,1858,2286
39227,1858,2124
39228,1858,1486
39229,1858,1402
39230,1858,1457
39231,1858,1487
39232,1858,1858
39233,1858,225
39234,1858,2013
39235,1858,2054
39236,1858,1110
39237,1858,2431
39238,1859,1859
39239,1859,1494
39240,1859,128
39241,1859,840
39242,1859,1633
39243,1859,1868
39244,1859,1495
39245,1859,2094
39246,1859,919
39247,1859,1826
39248,1859,1336
39249,1859,741
39250,1859,532
39251,1859,1043
39252,1859,1756
39253,1859,2394
39254,1859,627
39255,1859,2374
39256,1860,1698
39257,1860,1620
39258,1860,2361
39259,1860,67
39260,1860,756
39261,1860,1552
39262,1860,2463
39263,1860,584
39264,1860,1810
39265,1860,2323
39266,1860,339
39267,1860,1948
39268,1860,853
39269,1860,1003
39270,1860,846
39271,1860,2183
39272,1860,1860
39273,1860,2066
39274,1861,1861
39275,1861,1813
39276,1861,1314
39277,1861,1549
39278,1861,90
39279,1861,164
39280,1861,878
39281,1861,1354
39282,1861,409
39283,1861,2401
39284,1861,2432
39285,1861,2039
39286,1861,1760
39287,1861,2370
39288,1861,1957
39289,1861,1045
39290,1861,2312
39291,1861,2155
39292,1862,1151
39293,1862,974
39294,1862,1311
39295,1862,2533
39296,1862,2475
39297,1862,1862
39298,1862,1394
39299,1862,1114
39300,1862,1919
39301,1863,1612
39302,1863,2166
39303,1863,2234
39304,1863,821
39305,1863,2015
39306,1863,1977
39307,1863,1922
39308,1863,190
39309,1863,2483
39310,1863,169
39311,1863,439
39312,1863,408
39313,1863,1305
39314,1863,1240
39315,1863,179
39316,1863,563
39317,1863,1863
39318,1863,1911
39319,1864,2538
39320,1864,595
39321,1864,552
39322,1864,83
39323,1864,806
39324,1864,77
39325,1864,839
39326,1864,252
39327,1864,2460
39328,1864,430
39329,1864,1716
39330,1864,2010
39331,1864,618
39332,1864,592
39333,1864,1864
39334,1864,420
39335,1864,1785
39336,1864,1822
39337,1864,952
39338,1864,997
39339,1864,703
39340,1865,786
39341,1865,1986
39342,1865,2341
39343,1865,1225
39344,1865,637
39345,1865,1273
39346,1865,1352
39347,1865,1588
39348,1865,1703
39349,1865,2019
39350,1865,1496
39351,1865,1970
39352,1865,125
39353,1865,1680
39354,1865,1684
39355,1865,1895
39356,1865,93
39357,1865,435
39358,1865,2348
39359,1865,1865
39360,1865,318
39361,1865,2229
39362,1865,1085
39363,1866,251
39364,1866,1866
39365,1866,696
39366,1866,1618
39367,1866,2283
39368,1866,259
39369,1866,1386
39370,1866,1969
39371,1866,810
39372,1866,1937
39373,1866,2345
39374,1866,633
39375,1866,2030
39376,1866,55
39377,1867,1452
39378,1867,1979
39379,1867,1011
39380,1867,1482
39381,1867,38
39382,1867,56
39383,1867,2392
39384,1867,1867
39385,1867,1016
39386,1868,1495
39387,1868,128
39388,1868,1336
39389,1868,1633
39390,1868,2374
39391,1868,1868
39392,1868,919
39393,1868,1211
39394,1868,627
39395,1868,532
39396,1868,840
39397,1868,741
39398,1868,2394
39399,1868,628
39400,1868,2094
39401,1868,1826
39402,1868,1043
39403,1868,1494
39404,1868,653
39405,1868,1859
39406,1868,1756
39407,1869,638
39408,1869,858
39409,1869,687
39410,1869,1932
39411,1869,2354
39412,1869,1869
39413,1869,941
39414,1869,226
39415,1869,2457
39416,1869,1702
39417,1869,2300
39418,1869,1896
39419,1869,544
39420,1869,996
39421,1869,97
39422,1869,2179
39423,1869,984
39424,1869,61
39425,1869,693
39426,1869,1824
39427,1869,1498
39428,1869,1537
39429,1869,819
39430,1869,376
39431,1870,703
39432,1870,2173
39433,1870,1540
39434,1870,1054
39435,1870,839
39436,1870,2050
39437,1870,1716
39438,1870,2146
39439,1870,167
39440,1870,1729
39441,1870,1770
39442,1870,1219
39443,1870,539
39444,1870,1477
39445,1870,1650
39446,1870,1892
39447,1870,552
39448,1870,1909
39449,1870,84
39450,1870,859
39451,1870,1120
39452,1870,1331
39453,1870,1870
39454,1870,719
39455,1871,1195
39456,1871,453
39457,1871,678
39458,1871,2446
39459,1871,99
39460,1871,1693
39461,1871,2386
39462,1871,561
39463,1871,1429
39464,1871,579
39465,1871,1379
39466,1871,1076
39467,1871,1380
39468,1871,1543
39469,1871,1871
39470,1871,506
39471,1871,734
39472,1871,2252
39473,1871,1112
39474,1871,2160
39475,1871,1373
39476,1871,2261
39477,1871,1245
39478,1871,1364
39479,1871,495
39480,1871,477
39481,1871,484
39482,1871,1527
39483,1871,360
39484,1872,429
39485,1872,1783
39486,1872,645
39487,1872,1062
39488,1872,1105
39489,1872,1910
39490,1872,1872
39491,1872,368
39492,1872,1742
39493,1872,184
39494,1872,1155
39495,1872,605
39496,1872,1993
39497,1872,2433
39498,1872,1206
39499,1872,412
39500,1872,533
39501,1872,482
39502,1873,1406
39503,1873,1730
39504,1873,82
39505,1873,1873
39506,1873,1880
39507,1873,1233
39508,1873,1044
39509,1873,2478
39510,1873,549
39511,1873,1344
39512,1873,1670
39513,1873,2012
39514,1873,1171
39515,1873,1877
39516,1873,2418
39517,1873,264
39518,1873,331
39519,1873,1251
39520,1873,1176
39521,1873,1560
39522,1873,1430
39523,1873,80
39524,1873,589
39525,1873,315
39526,1874,282
39527,1874,571
39528,1874,2322
39529,1874,258
39530,1874,2455
39531,1874,601
39532,1874,2280
39533,1874,1247
39534,1874,1325
39535,1874,459
39536,1874,883
39537,1874,1816
39538,1874,1809
39539,1874,1118
39540,1874,1025
39541,1874,763
39542,1874,877
39543,1874,1874
39544,1874,1277
39545,1874,1984
39546,1874,1250
39547,1874,1480
39548,1874,2438
39549,1874,366
39550,1874,712
39551,1874,1656
39552,1875,264
39553,1875,1409
39554,1875,2358
39555,1875,2020
39556,1875,1058
39557,1875,731
39558,1875,2484
39559,1875,2076
39560,1875,525
39561,1875,991
39562,1875,2336
39563,1875,1966
39564,1875,1274
39565,1875,1875
39566,1876,158
39567,1876,896
39568,1876,575
39569,1876,153
39570,1876,2428
39571,1876,1080
39572,1876,177
39573,1876,2177
39574,1876,1876
39575,1876,2046
39576,1876,1691
39577,1876,1293
39578,1876,1213
39579,1876,255
39580,1876,1766
39581,1876,410
39582,1876,1974
39583,1876,1420
39584,1877,1730
39585,1877,331
39586,1877,1406
39587,1877,80
39588,1877,1430
39589,1877,1877
39590,1877,549
39591,1877,2418
39592,1877,1171
39593,1877,589
39594,1877,2012
39595,1877,1670
39596,1877,1873
39597,1877,1880
39598,1877,82
39599,1877,1233
39600,1877,1344
39601,1877,1251
39602,1877,1044
39603,1877,1176
39604,1877,315
39605,1877,264
39606,1877,1560
39607,1877,2478
39608,1878,75
39609,1878,665
39610,1878,1995
39611,1878,173
39612,1878,2243
39613,1878,1962
39614,1878,244
39615,1878,1374
39616,1878,976
39617,1878,1878
39618,1878,873
39619,1878,2342
39620,1878,2436
39621,1878,348
39622,1878,1808
39623,1878,801
39624,1879,1879
39625,1879,1395
39626,1879,1841
39627,1879,704
39628,1879,2214
39629,1879,916
39630,1879,2181
39631,1879,481
39632,1879,1627
39633,1879,46
39634,1879,938
39635,1879,336
39636,1879,1357
39637,1879,792
39638,1879,1028
39639,1879,616
39640,1880,1176
39641,1880,1430
39642,1880,1251
39643,1880,331
39644,1880,1730
39645,1880,1344
39646,1880,1880
39647,1880,315
39648,1880,1560
39649,1880,264
39650,1880,1873
39651,1880,2478
39652,1880,80
