,NUM_EXP,ADR1,ADR2,COMMUNE,CP,CC,LATITUDE,LONGITUDE,GEO_SCORE,DEP,polyID,degrees
216,44149598.0,1 LA NOE PEGUILLE,,SAFFRE,44390,44149,47.478575,-1.620124,0.8,44,216,16
217,44170009.0,LA HERBAUDIERE,,ST JULIEN DE VOUVANTES,44670,44170,47.637215,-1.223451,0.48,44,217,28
218,44085037.0,LA BRECHETAIS,,LOUISFERT,44110,44085,47.682936,-1.406249,0.49,44,218,13
219,44151249.0,25 ROUTE DE BRANGOURE,,ST ANDRE DES EAUX,44117,44151,47.307849,-2.320265,0.77,44,219,8
220,44148130.0,LA COUR JUBE,,RUFFIGNE,44660,44148,47.754014,-1.474935,0.85,44,220,11
221,44045259.0,MARIOVILLE,,CORDEMAIS,44360,44045,47.287338,-1.858778,0.43,44,221,8
222,44087694.0,12 LA RAINERIE,,MACHECOUL ST MEME,44270,44087,46.998633,-1.819087,0.53,44,222,16
223,44197059.0,LA MUSTAIS,,SION LES MINES,44590,44197,47.711556,-1.558869,0.88,44,223,18
224,44174012.0, 4 SAINT SYMPHORIEN,,ST LUMINE DE COUTAIS,44310,44174,47.039697,-1.721856,0.76,44,224,19
225,44006048.0,TROLOGO,,ASSERAC,44410,44006,47.42359,-2.412186,0.42,44,225,18
226,44061096.0, LA CHAUVELAIS,,FROSSAY,44320,44061,47.232782,-1.937671,0.79,44,226,19
227,44111076.0, LES BUISSONNETS,,NOTRE DAME DES LANDES,44130,44111,47.379241,-1.741831,0.58,44,227,15
228,44118031.0,LA DINETIERE,,PANNECE,44440,44118,47.494883,-1.225687,0.53,44,228,16
229,44015164.0,PETITE LANDE ST EMILIEN BLAIN,,BLAIN,44130,44015,47.433926,-1.745104,0.63,44,229,11
230,44128083.0,LA BOSSE LE DRESNY,,PLESSE,44630,44128,47.559071,-1.817091,0.53,44,230,19
231,44128122.0, LUSSAC,,PLESSE,44630,44128,47.542408,-1.87887,0.41,44,231,16
232,44129023.0,LA SALMONAIS DE PIE,,PONTCHATEAU,44160,44129,47.460416,-2.134306,0.74,44,232,15
233,44203005.0,"34, RUE DE NANTES",,LE TEMPLE DE BRETAGNE,44360,44203,47.327004,-1.789058,0.87,44,233,9
234,44133028.0,4 CHAPPE,,PORT ST PERE,44710,44133,47.154848,-1.796709,0.62,44,234,14
235,44131059.0, LES CHAMPS RENAUD,,PORNIC,44210,44131,47.112516,-2.035502,0.53,44,235,8
236,44158042.0,17 HAUT VENT,,ST ETIENNE DE MONTLUC,44360,44158,47.28234,-1.809068,0.66,44,236,16
237,44205013.0,LA PECAUDIERE,ND,LES TOUCHES,44390,44205,47.460875,-1.472,0.84,44,237,9
238,44170033.0,BELLE-VUE,,ST JULIEN DE VOUVANTES,44670,44170,47.665699,-1.215735,0.72,44,238,12
239,44039001.0,1 RUE DE L'ACHENEAU,,CHEIX EN RETZ,44640,44039,47.183705,-1.812589,0.79,44,239,18
240,44149036.0,LA CHARBONNIERE,,SAFFRE,44390,44149,47.491956,-1.556283,0.74,44,240,10
241,44197493.0,MOULIN QUENEUX,,SION LES MINES,44590,44197,47.743092,-1.548028,0.73,44,241,13
242,44073130.0,LA CORMERAIS,ND,HERIC,44810,44073,47.385611,-1.65963,0.24,44,242,13
243,44164060.0, BEAU SOLEIL,,ST HILAIRE DE CHALEONS,44680,44164,47.081672,-1.924994,0.74,44,243,16
244,44115020.0,LE ROZAY,,OUDON,44521,44115,47.356143,-1.304745,0.37,44,244,7
245,44025214.0,2 CRINCOUET,,CAMPBON,44750,44025,47.421006,-2.003293,0.63,44,245,16
246,44131134.0, LA MEUTRERIE,,PORNIC,44210,44131,47.144561,-2.126493,0.78,44,246,9
247,44206002.0, LE VAL DE MORIERE,,TOUVOIS,44650,44206,46.936016,-1.674408,0.7,44,247,12
248,44087094.0, 1 LE VIVIER,,MACHECOUL ST MEME,44270,44087,46.974897,-1.846519,0.66,44,248,12
249,44173208.0, L EMONIERE,,ST LUMINE DE CLISSON,44190,44173,47.059616,-1.350845,0.72,44,249,7
250,44099057.0,LE PALIERNE,,MOISDON LA RIVIERE,44520,44099,47.620075,-1.415509,0.61,44,250,9
251,44072103.0,HOSCAS,,HERBIGNAC,44410,44072,47.426205,-2.287113,0.56,44,251,6
252,44053059.0,18 LE ROSSIGNOL,,DREFFEAC,44530,44053,47.461325,-2.04603,0.7,44,252,12
253,44008013.0,LA PETITE CHARAUDIERE,BARBECHAT,DIVATTE SUR LOIRE,44450,44029,47.295789,-1.310709,0.72,44,253,9
254,44111022.0,LIMIMBOUT,,NOTRE DAME DES LANDES,44130,44111,47.382289,-1.717964,0.64,44,254,14
255,44107042.0,BELLON,,MOUZEIL,44850,44107,47.440552,-1.326029,0.45,44,255,15
256,44124008.0,103 COURTAIS,,LE PIN,44540,44124,47.592589,-1.181047,0.57,44,256,23
257,44163047.0,LA FUIE,,VAIR SUR LOIRE,44150,44163,47.403074,-1.125599,0.67,44,257,8
258,44014009.0,LA SENCIVE,,LE BIGNON,44140,44014,47.10151,-1.467566,0.7,44,258,12
259,44098148.0,LA PIERRE HAMON,,MISSILLAC,44780,44098,47.461725,-2.230296,0.7,44,259,8
260,44052264.0,10 LA DUCHEE,,DONGES,44480,44052,47.362806,-2.098359,0.64,44,260,16
261,44015196.0,LA SENCIVE,,BLAIN,44130,44015,47.443072,-1.840174,0.44,44,261,20
262,44194046.0,DEFAY,,SAUTRON,44880,44194,47.280504,-1.677592,0.67,44,262,11
263,44199448.0,LA CHAUSSEE,,SOUDAN,44110,44199,47.723724,-1.332645,0.56,44,263,19
264,44218054.0,LA LANDE A LA MERE,,VILLEPOT,44110,44218,47.781448,-1.327986,0.81,44,264,6
265,44170006.0,LA HAUTE CHAMPELLIERE,,ST JULIEN DE VOUVANTES,44670,44170,47.637215,-1.223451,0.55,44,265,28
266,44051474.0, LA PORTE,,DERVAL,44590,44051,47.699973,-1.732915,0.72,44,266,12
267,44011089.0,LE PLESSIS,BELLIGNE,LOIREAUXENCE,44370,44213,47.496007,-1.03355,0.59,44,267,5
268,44207130.0,LA BARBARDIERE,,TRANS SUR ERDRE,44440,44207,47.472515,-1.333226,0.56,44,268,14
269,44081300.0,5 BD NAPOLEON,,LEGE,44650,44081,46.884596,-1.592329,0.52,44,269,10
270,44153084.0, LA MEHARDIERE,,ST AUBIN DES CHATEAUX,44110,44153,47.728329,-1.457287,0.49,44,270,9
271,44146011.0,LE BOIS BONNIN,,ROUGE,44660,44146,47.786136,-1.462127,0.73,44,271,16
272,44083021.0,6 LA CRETINIERE,,LA LIMOUZINIERE,44310,44083,46.989215,-1.665149,0.89,44,272,7
273,44025414.0,LA DAGUAIS,,CAMPBON,44750,44025,47.397896,-1.983153,0.76,44,273,14
274,44111073.0, BELLEVUE,,NOTRE DAME DES LANDES,44130,44111,47.382289,-1.717964,0.66,44,274,14
275,44197379.0,LE LORAY,,SION LES MINES,44590,44197,47.701333,-1.626469,0.64,44,275,18
276,44211020.0, BREHET,,LA TURBALLE,44420,44211,47.351178,-2.491352,0.57,44,276,7
277,44138042.0,1 TOUBRIANT,,PUCEUL,44390,44138,47.526865,-1.584811,0.65,44,277,12
278,44025117.0, LA BOSSE MARION,,CAMPBON,44750,44025,47.419077,-2.032035,0.87,44,278,11
279,44076036.0, LE BOSCHET,,JANS,44170,44076,47.6054,-1.590876,0.72,44,279,18
280,44224042.0,LA BRETONNIERE,,LA GRIGONNAIS,44170,44224,47.517597,-1.68744,0.89,44,280,17
281,44036093.0,LE BOIS HAMON,,CHATEAUBRIANT,44110,44036,47.711818,-1.401761,0.82,44,281,16
282,44102278.0,LA PIERRE FOLLE,,MONTBERT,44140,44102,47.050011,-1.472486,0.8,44,282,11
283,44047042.0,LA CHATAIGNERAIE,,COUERON,44220,44047,47.241644,-1.684299,0.62,44,283,12
284,44051119.0, LA BOUTONNAIS,,DERVAL,44590,44051,47.687642,-1.665441,0.78,44,284,21
285,44195006.0,LA CHAINTRE,,SAVENAY,44260,44195,47.347628,-1.899138,0.39,44,285,8
286,44040244.0, LES SEPT FONTAINES,CHEMERE,CHAUMES EN RETZ,44320,44005,47.124003,-1.914591,0.37,44,286,19
287,44199474.0,LA CHAMPIAIS,,SOUDAN,44110,44199,47.724107,-1.322092,0.48,44,287,21
288,44146122.0,LANGUEDIN,,ROUGE,44660,44146,47.776765,-1.47182,0.43,44,288,22
289,44188021.0,LA CRESPELIERE,,ST PHILBERT DE GRAND LIEU,44310,44188,47.00615,-1.630753,0.67,44,289,6
290,44199117.0,LA PLANCHE DES ROCHES,,SOUDAN,44110,44199,47.73431,-1.318806,0.41,44,290,18
291,44015199.0,LA MORTRAIS ST OMER,,BLAIN,44130,44015,47.462106,-1.86304,0.59,44,291,14
292,44128146.0,LE PERRET - LE COUDRAY,,PLESSE,44630,44128,47.557716,-1.840351,0.57,44,292,25
293,44205444.0,204 GUERINIERE,,LES TOUCHES,44390,44205,47.441833,-1.361321,0.67,44,293,9
294,44186059.0, LA BONHOMMERIE,,STE PAZANNE,44680,44186,47.11536,-1.803223,0.46,44,294,13
295,44164039.0,MALABRIT,,ST HILAIRE DE CHALEONS,44680,44164,47.069735,-1.904005,0.72,44,295,11
296,44007033.0,5 LA FITIERE,,AVESSAC,44460,44007,47.6606,-1.956794,0.7,44,296,13
297,44087768.0,LE BARIL,,MACHECOUL ST MEME,44270,44087,46.972286,-1.818128,0.69,44,297,15
298,44008006.0,LA COUR,BARBECHAT,DIVATTE SUR LOIRE,44450,44029,47.299027,-1.316464,0.66,44,298,9
299,44147050.0,LA ROIRIE,LA ROUXIERE,LOIREAUXENCE,44370,44213,47.444083,-0.993427,0.65,44,299,11
300,44025247.0,COUTABLE,,CAMPBON,44750,44025,47.395846,-1.917656,0.84,44,300,14
301,44146061.0, L ECLUSE,,ROUGE,44660,44146,47.78359,-1.450051,0.36,44,301,20
302,44011016.0,LA PLANCHE,BELLIGNE,LOIREAUXENCE,44370,44213,47.473607,-0.971912,0.58,44,302,9
303,44193222.0,11 LAVERDIERE,,ST VINCENT DES LANDES,44590,44193,47.649093,-1.454191,0.62,44,303,11
304,44054336.0,LA MAUBEUCHETIERE,,ERBRAY,44110,44054,47.684263,-1.341552,0.37,44,304,18
305,44164059.0, LA PETITE DAVIERE,,ST HILAIRE DE CHALEONS,44680,44164,47.100306,-1.910515,0.59,44,305,19
306,44028007.0,LA HAUTE BELORIERE,,LE CELLIER,44850,44028,47.325829,-1.36792,0.64,44,306,4
307,44137051.0,36 ROUTE DE SAINT NAZAIRE,,PRINQUIAU,44260,44137,47.355356,-2.022096,0.86,44,307,8
308,44163059.0,LA FRESSIGAUDIERE,,VAIR SUR LOIRE,44150,44163,47.386858,-1.143715,0.9,44,308,8
309,44194016.0,LE BREIL,,SAUTRON,44880,44194,47.287433,-1.67757,0.75,44,309,12
310,44047076.0,2 LE CHAMP FAILLI,LA PETITE LANDE,COUERON,44220,44047,47.222824,-1.708125,0.45,44,310,12
311,44128253.0,LE DRESNY   12 RUE DU LAVOIR,,PLESSE,44630,44128,47.569921,-1.936925,0.85,44,311,25
312,44163150.0,BEAUVAIS,,VAIR SUR LOIRE,44150,44163,47.395383,-1.081757,0.59,44,312,5
313,44081719.0,LA CORNETIERE,,LEGE,44650,44081,46.865405,-1.549774,0.95,44,313,7
314,44021026.0,3 ROUTE DE MILLAC,,VILLENEUVE EN RETZ,44580,44021,47.04724,-1.966007,0.85,44,314,5
315,44112065.0,LA TOURRIERE,,NOYAL SUR BRUTZ,44110,44112,47.775904,-1.344561,0.51,44,315,17
316,44066260.0,LA L'OEUF,,GRANDCHAMPS DES FONTAINES,44119,44066,47.361389,-1.62241,0.68,44,316,11
317,44067085.0,8 LE FEUILLY,,GUEMENE PENFAO,44290,44067,47.641931,-1.863302,0.67,44,317,18
318,44076242.0,LA FOIE,,JANS,44170,44076,47.633307,-1.60091,0.67,44,318,17
319,44157032.0,2 LE PEY,,ST ETIENNE DE MER MORTE,44270,44157,46.942173,-1.74158,0.68,44,319,12
320,44023106.0,1 LE BOIS LAINE,,BOUVRON,44130,44023,47.399658,-1.89954,0.72,44,320,20
321,44067160.0,LES ECOBUTS,,GUEMENE PENFAO,44290,44067,47.653146,-1.840246,0.7,44,321,24
322,44222022.0, LES MARAIRES,,LA ROCHE BLANCHE,44522,44222,47.432968,-1.137088,0.89,44,322,10
323,44091041.0,LA CALVERNAIS,,MARSAC SUR DON,44170,44091,47.575473,-1.710578,0.83,44,323,14
324,44063018.0,10 L AUBRETIERE,,GETIGNE,44190,44063,47.071556,-1.213542,0.76,44,324,7
325,44216429.0,1 LA GIRAUDIERE,,VIEILLEVIGNE,44116,44216,46.940688,-1.434905,0.82,44,325,5
326,44057044.0,LA RIVIERE,,FEGREAC,44460,44057,47.566511,-2.014149,0.76,44,326,12
327,44025525.0,LA MOYONNAIS,,CAMPBON,44750,44025,47.4016,-1.949846,0.78,44,327,17
328,44023078.0,5 LE BAS BEZOU,,BOUVRON,44130,44023,47.404983,-1.866196,0.71,44,328,22
329,44075060.0,LE BREIL BENOIT,,ISSE,44520,44075,47.613204,-1.448939,0.78,44,329,15
330,44144040.0,LE LOGIS,,RIAILLE,44440,44144,47.502174,-1.279533,0.4,44,330,16
331,44199341.0,LA COURGEONNAIS,,SOUDAN,44110,44199,47.740324,-1.330228,0.79,44,331,15
332,44168010.0,"134, BIS NEPY",,ST JOACHIM,44720,44168,47.375542,-2.18799,0.34,44,332,7
333,44081664.0,LA TIRELIERE,,LEGE,44650,44081,46.895308,-1.549603,0.95,44,333,12
